tweet_id,tweet_date,tweet_source,tweet_text,tweet_user,tweet_favorites,tweet_retweets,
1.27E+18,19-06-2020 09:17,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",GyanveerSingh8,0,21,
,,,,,,,
1.27E+18,19-06-2020 09:16,Sumanerts,RT @STRANGE64022201: How INDIA losing its Neighbors one by one | How INDIA losing SRI LANKA  #IndiaWantsSurpriseAgain #srilanka  #IndiaWill…,sumanebot,0,7,
,,,,,,,
1.27E+18,19-06-2020 09:03,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",specter723,0,21,
,,,,,,,
1.27E+18,19-06-2020 08:59,Twitter for Android,"Now who made this? 
@kunalkamra88 @anuragkashyap72 
@ReallySwara 
@dhruv_rathee 
@VishalDadlani 
@narendramodi… https://t.co/Ck591xh1Gm",Rajeev49561602,0,0,
,,,,,,,
1.27E+18,19-06-2020 08:57,Twitter for Android,"RT @PayalNeve: #ChineseProductsInDustbin   Reminder for all of us, half an hour to go, do participate in this trend as we know #indiavschin…",PadhiarTanuja,0,141,
,,,,,,,
1.27E+18,19-06-2020 08:48,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",therealChitranG,0,21,
,,,,,,,
1.27E+18,19-06-2020 08:46,Twitter for iPhone,As per the reports China releases 10 Indian soldiers after talks #indiavschina,BhaskarGanekar,0,0,
,,,,,,,
1.27E+18,19-06-2020 08:42,Twitter for Android,Indian Public has no time for these routine Cock &amp; Bull Stories... #TamilNadu #IndiaVsChina #CoronaCrisis… https://t.co/KZex6TixZp,VE23VJAY,0,0,
,,,,,,,
1.27E+18,19-06-2020 08:41,Twitter Web App,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",brattybart007,0,21,
,,,,,,,
1.27E+18,19-06-2020 08:36,Twitter for iPhone,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",impuni,0,21,
,,,,,,,
1.27E+18,19-06-2020 08:25,Twitter Web App,#Covid19 + #INDIAvsCHINA + Daily dose of new problems we are all are fighting... This is a tough time for us! But i… https://t.co/4PwiPdfMZX,KabiraaSalil,0,0,
,,,,,,,
1.27E+18,19-06-2020 08:24,Twitter for Android,"RT @PayalNeve: #ChineseProductsInDustbin   Reminder for all of us, half an hour to go, do participate in this trend as we know #indiavschin…",NSwati7,0,141,
,,,,,,,
1.27E+18,19-06-2020 08:22,Twitter for Android,World is against China..We need to use it to our advantage..We need allies..India cannot take this alone..Time to t… https://t.co/me1eWKvaAx,AmitAro87940490,1,0,
,,,,,,,
1.27E+18,19-06-2020 08:15,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",Rathnammana_son,0,21,
,,,,,,,
1.27E+18,19-06-2020 08:08,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",PRASHANTSOAM,0,21,
,,,,,,,
1.27E+18,19-06-2020 07:58,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",rajshri_mahtani,0,21,
,,,,,,,
1.27E+18,19-06-2020 07:55,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",56perumal,0,21,
,,,,,,,
